"","DIAMETER","TREAT","SITE","PLOT","REP","SPP","DBH","stem.bio","branch.bio","new.bio","tot.s.b.n","total.agb"
"1",1.3378,"Subsidence","ALY",1,1,"salix",NA,37.8867846718166,8.67375287240785,5.86533992622691,52.4258774704514,53.6178011161591
"2",1.1976,"Subsidence","ALY",1,2,"salix",NA,27.6351258997938,6.18136042340681,4.60765639787453,38.4241427210751,39.1962289105837
"3",0.7092,"Subsidence","ALY",1,3,"salix",NA,6.20817177974224,1.24394821822648,1.47040243667084,8.92252243463956,8.89810291328039
"4",0.8118,"Subsidence","ALY",1,4,"salix",NA,9.12436473796179,1.88089296349602,1.97405528580505,12.9793129872629,13.0425566015859
"5",1.234,"Subsidence","ALY",1,5,"salix",NA,30.0968510336558,6.77445538016128,4.91844067229842,41.7897470861155,42.6622571496954
"6",0.4726,"Subsidence","ALY",2,1,"salix",NA,1.95245012118888,0.359253305598469,0.606955278551497,2.91865870533885,2.82123424708864
"7",0.7616,"Subsidence","ALY",2,2,"salix",NA,7.60667076573245,1.54715711979429,1.71761216822202,10.8714400537488,10.8870233478621
"8",0.9208,"Subsidence","ALY",2,3,"salix",NA,13.0660401639939,2.76564127749868,2.59800968772729,18.4296911292199,18.6298670767291
"9",1.3312,"Subsidence","ALY",2,4,"salix",NA,37.3565089855855,8.54347441804195,5.80244192648907,51.7024253301166,52.8725785994978
"10",1.0652,"Subsidence","ALY",2,5,"salix",NA,19.7902669856776,4.31906102900578,3.56911312157166,27.678441136255,28.1353358490536
"11",3.7038,"Subsidence","ALY",3,2,"salix",NA,690.109977673752,195.664227074656,54.0022678561714,939.77647260458,956.961420168497
"12",2.433,"Subsidence","ALY",3,1,"salix",NA,208.342496576216,54.0810171657539,21.604796825251,284.028310567221,291.342669641175
"13",1.4916,"Subsidence","ALY",3,3,"salix",NA,51.6632973943313,12.1011394185413,7.43571209447349,71.2001489073461,72.9555183621483
"14",0.6318,"Subsidence","ALY",3,4,"salix",NA,4.4660622795395,0.87342102082083,1.14294139970892,6.48242470006925,6.41596898985958
"15",0.4894,"Subsidence","ALY",3,5,"salix",NA,2.15682621686657,0.39978061424024,0.65497968912887,3.21158652023568,3.1143753130587
"16",0.9114,"Subsidence","ALY",4,1,"salix",NA,12.6894726104024,2.68015315532097,2.54054014480878,17.9101659105321,18.0966616187625
"17",1.1316,"Subsidence","ALY",4,2,"salix",NA,23.5124415591618,5.19697216390406,4.07203024983422,32.7814439729001,33.3866576561314
"18",0.8646,"Subsidence","ALY",4,3,"salix",NA,10.9193368188651,2.2808913880058,2.2647360489835,15.4649642558544,15.5886688512256
"19",0.8572,"Subsidence","ALY",4,4,"salix",NA,10.6550873973738,2.22167953644186,2.22269310863656,15.0994600424522,15.2140362493924
"20",2.8466,"Burned","ALY",1,1,"salix",NA,325.914154145796,87.4357258569713,30.4222996140074,443.772179616775,454.324091257256
"21",1.4212,"Burned","ALY",1,3,"salix",NA,45.0132292343987,10.4369813243632,6.69188890519446,62.1420994639564,63.6262224951638
"22",0.834,"Burned","ALY",1,4,"salix",NA,9.85362653391951,2.04276361112083,2.09364179478303,13.9900319398234,14.0773805353006
"23",1.1828,"Burned","ALY",1,5,"salix",NA,26.6728918322675,5.95057076824104,4.48442802088572,37.1078906213943,37.8408559131999
"24",0.823,"Burned","ALY",2,2,"salix",NA,9.48773145932061,1.96143307198233,2.03391139653658,13.4830759278395,13.5582444817842
"25",0.8738,"Burned","ALY",2,4,"salix",NA,11.2537475508208,2.35597588865989,2.31760082632854,15.9273242658092,16.0626797774604
"26",0.7168,"Burned","ALY",2,5,"salix",NA,6.3996635742908,1.28519156860265,1.50497062002235,9.18982576291581,9.17061070062304
"27",1.964,"Burned","ALY",3,1,"salix",NA,113.168635988551,28.0842569164632,13.5459298732275,154.798822778242,158.932357448246
"28",0.5336,"Burned","ALY",3,3,"salix",NA,2.75954793969344,0.520871277787653,0.790844099342911,4.071263316824,3.97779777360534
"29",0.5724,"Burned","ALY",3,2,"salix",NA,3.37067426379384,0.645670360749095,0.92160659038332,4.93795121492626,4.8519002782517
"30",1.4464,"Burned","ALY",3,4,"salix",NA,47.3254585865122,11.0136822355983,6.95327057641929,65.2924113985299,66.8710490533691
"31",1.3304,"Burned","ALY",3,5,"salix",NA,37.2925625448794,8.527773184346,5.79484286487553,51.615178594101,52.782706524418
"32",0.7842,"Burned","ALY",4,3,"salix",NA,8.26778818490625,1.6919834945541,1.83067350360326,11.7904451830636,11.8263268765763
"33",1.2068,"Burned","ALY",4,1,"salix",NA,28.2444721544241,6.32781859785616,4.68516991960204,39.2574606718823,40.0543630972791
"34",1.2504,"Burned","ALY",4,2,"salix",NA,31.2508909816745,7.0537462258612,5.0620581846885,43.3666953922242,44.286412219435
"35",0.526,"Burned","ALY",4,5,"salix",NA,2.64900162316567,0.498501391682456,0.766494973653301,3.91399798850142,3.81954457866928
"36",0.5652,"Unburned","ALY",1,1,"salix",NA,3.25123970578721,0.621138697024359,0.896522271769427,4.76890067458099,4.6811657697616
"37",0.6494,"Unburned","ALY",1,3,"salix",NA,4.82984133288132,0.950030586837273,1.21349270191576,6.99336462163435,6.93476409137109
"38",0.7128,"Unburned","ALY",1,4,"salix",NA,6.29840775265514,1.26337166571155,1.48672264171292,9.0485020600796,9.02652299366984
"39",0.4132,"Unburned","ALY",1,5,"salix",NA,1.33146497084165,0.238177402849914,0.452887017184942,2.02252939087651,1.92910387115361
"40",0.749,"Unburned","ALY",2,1,"salix",NA,7.25347358832171,1.4701591801453,1.65626853573613,10.3799013042031,10.3849753797435
"41",0.8228,"Unburned","ALY",2,3,"salix",NA,9.48116184648477,1.95997487441009,2.0328340475386,13.4739707684335,13.5489221729999
"42",0.3294,"Unburned","ALY",2,4,"salix",NA,0.697886984469192,0.119037609864022,0.276310778049815,1.09323537238303,1.01573332309463
"43",0.5224,"Unburned","ALY",2,5,"salix",NA,2.59765746505369,0.488134712871918,0.755104912802661,3.84089709072826,3.74602691447366
"44",0.5066,"Unburned","ALY",3,1,"salix",NA,2.37995437849821,0.444350287464786,0.706204520679794,3.53050918664279,3.43419065431304
"45",0.8148,"Unburned","ALY",3,2,"salix",NA,9.22079276571938,1.9022435499058,1.98999329602459,13.1130296116498,13.1794204995206
"46",0.7874,"Unburned","ALY",3,3,"salix",NA,8.36430331692592,1.71319955912347,1.84699782413183,11.9245007001812,11.9634086775755
"47",0.8254,"Unburned","ALY",3,4,"salix",NA,9.56679741513653,1.97898844970455,2.04686368884218,13.5926495536833,13.670435867999
"48",1.7816,"Unburned","ALY",4,2,"salix",NA,85.7199551312892,20.8415119776623,10.9528372333266,117.514304342278,120.618744752322
"49",0.825,"Unburned","ALY",4,3,"salix",NA,9.5535901691318,1.97605523794926,2.04470188266415,13.5743472897452,13.65169577543
"50",0.4686,"Unburned","ALY",4,5,"salix",NA,1.90572119320112,0.350029774178334,0.595812168477553,2.85156313585701,2.7541804526788
"51",2.4902,"Subsidence","HEATHER",5,1,"salix",NA,222.607814358698,58.0666455556247,22.7274655311844,303.401925445507,311.146410121803
"52",1.1702,"Subsidence","HEATHER",5,2,"salix",NA,25.8710539030542,5.75871896718341,4.38094088971395,36.0107137599515,36.7111502782687
"53",2.4424,"Subsidence","HEATHER",5,3,"salix",NA,210.644783603343,54.7229346363135,21.7871786250018,287.154896864658,294.539433052958
"54",3.5348,"Subsidence","HEATHER",5,4,"salix",NA,604.105327324114,169.608036979995,48.7748288353879,822.488193139497,838.48334835079
"55",2.7872,"Subsidence","HEATHER",5,5,"salix",NA,306.903635891609,81.9718026784629,29.0554040822546,417.930842652327,428.003917878866
"56",0.904,"Subsidence","HEATHER",6,1,"salix",NA,12.3980356389926,2.61411925020211,2.49578728286672,17.5079421720615,17.683921786771
"57",2.7178,"Subsidence","HEATHER",6,2,"salix",NA,285.622694807504,75.8849287239064,27.5013825102927,389.009006041704,398.526711954142
"58",1.1736,"Subsidence","HEATHER",6,3,"salix",NA,26.0858589076704,5.81007189577171,4.40873717024175,36.3046679736839,37.0138118098166
