site,trt,plot,rep,n,c,delta.n,delta.c,CN
SE,T,9,5,1.49718618,47.78060321,2.299765566,-27.51851036,31.91360156
SE,T,10,1,1.773328489,47.60972391,-1.59613059,-28.86041894,26.84766201
SE,T,10,2,1.870719505,48.24512571,-0.989903581,-27.25506748,25.7896096
SE,T,10,3,1.755223055,48.35646726,-2.529343891,-26.89596724,27.55004107
SE,T,10,4,1.680288141,48.69024712,0.667319036,-26.98764798,28.97731998
SE,T,10,5,1.724347061,46.91151796,0.469135169,-28.9859461,27.20538053
SE,T,11,1,1.526741662,47.1048139,-4.009066116,-29.5682304,30.85316598
SE,T,11,2,2.008864454,47.67823644,-2.96986216,-28.38013177,23.73392408
SE,T,11,3,1.842753763,47.72577905,-1.298422387,-27.99338685,25.89916244
SE,T,11,4,1.904852991,48.10325645,-0.084020658,-27.89597184,25.25300203
SE,T,11,5,1.733439445,47.40274576,-3.252053813,-28.13216285,27.34606386
SE,T,12,1,1.644576289,47.59090948,-3.616012259,-28.00207168,28.93809779
SE,T,12,2,1.626614335,46.80293773,-4.48159941,-29.70856396,28.77322345
SE,T,12,3,2.005094894,47.51637595,0.423307175,-28.61273219,23.69781904
SE,T,12,4,1.659099143,48.27582832,-1.224382557,-28.26986947,29.09761513
SE,T,12,5,1.991299496,47.63511986,-4.757227008,-29.32271486,23.92162503
SE,S,9,1,1.60127594,47.48528955,-0.20477321,-29.38184825,29.65465749
SE,S,9,2,1.794492996,48.50130762,0.593727723,-26.35572969,27.0278612
SE,S,9,3,1.475113791,47.53199175,0.47640477,-28.0234875,32.22259329
SE,S,9,4,1.327102598,47.49011538,-0.744206097,-27.78392368,35.7848108
SE,S,9,5,1.413160412,46.88235578,-1.778623276,-29.70671778,33.17553717
SE,S,10,1,1.795754392,48.65644364,-0.620552928,-26.51982194,27.0952664
SE,S,10,2,1.728906465,50.07769738,2.279571966,-27.37857122,28.96495467
SE,S,10,3,1.629008487,50.55116726,1.225539028,-26.56551182,31.03186243
SE,S,10,4,1.640048415,49.7675743,-0.761481567,-26.65924605,30.34518606
SE,S,10,5,1.74490697,48.27233375,0.084364952,-27.85125544,27.66470338
SE,S,11,1,1.710163688,49.18650049,-2.16196209,-28.83307457,28.76128223
SE,S,11,2,1.541191448,48.99327045,0.987920536,-27.93976238,31.78921769
SE,S,11,3,1.613742254,48.59984699,-1.809771088,-27.50152232,30.11623874
SE,S,11,4,1.787568639,48.29691549,-1.940915578,-27.56997551,27.01821594
SE,S,11,5,1.772942415,47.11097671,-1.601047058,-28.12649211,26.5721979
SE,S,12,1,1.780939946,48.24931106,-3.42824738,-27.2542498,27.09204831
SE,S,12,2,1.375268824,47.21802681,-3.662747112,-27.03489638,34.33367061
SE,S,12,3,1.594333016,49.20296214,-2.063192667,-27.29013868,30.86115739
SE,S,12,4,1.589009175,47.8410222,-2.343726852,-27.30351483,30.10745498
SE,S,12,5,1.540395625,47.31668839,-2.586751668,-29.0745131,30.71723109
IN,U,13,1,1.913131453,48.35897272,1.000252505,-27.12666535,25.2773915
IN,U,13,2,2.132015893,49.07929716,0.684043924,-25.98800846,23.02013663
IN,U,13,3,1.6591553,48.45371439,0.393815863,-27.928624,29.20384511
IN,U,13,4,1.589400258,49.24472297,-0.880302705,-26.98228387,30.98321063
IN,U,13,5,1.646952181,49.39536263,0.296530902,-26.0740901,29.9919835
IN,U,14,1,2.058687192,48.99303118,-1.203884105,-26.13535461,23.79819109
IN,U,14,2,1.977408407,48.30434462,-0.709707265,-27.33388057,24.42810724
IN,U,14,3,1.731963882,49.30164458,-0.976768279,-26.81889977,28.46574637
IN,U,14,4,1.922465774,47.92467715,-0.771679422,-25.95757335,24.92875441
IN,U,14,5,1.654740908,48.39712549,-1.10725787,-28.53730881,29.24755486
IN,U,15,1,1.486117559,49.15931435,-0.470666153,-25.48539987,33.07902127
IN,U,15,2,1.67656623,48.63307206,-0.22076004,-26.20679079,29.00754601
IN,U,15,3,1.984534403,47.25670872,0.48553131,-25.87346427,23.81249156
IN,U,15,4,2.312039415,48.35474254,1.064725918,-26.62273528,20.91432448
IN,U,15,5,2.062424735,45.86096837,1.420987489,-26.61218584,22.23643248
IN,U,16,1,1.793339788,46.7132466,1.752186116,-27.36580867,26.04818502
IN,U,16,2,1.75848607,47.31182557,0.371994034,-26.25137394,26.9048623
IN,U,16,3,,,,,
IN,U,16,4,1.931145636,47.36820728,1.747533635,-26.38722172,24.52855258
IN,U,16,5,2.060933141,47.4797781,1.188823702,-26.93689788,23.03800019
IN,T,13,1,1.558341585,48.73950046,-1.316052349,-26.86550582,31.27651917
IN,T,13,2,1.526458262,48.32876174,-0.034788635,-25.377428,31.66071614
IN,T,13,3,1.840615655,48.23504463,-2.375471683,-28.67153738,26.20592979
IN,T,13,4,1.473094513,49.22975997,-1.24620113,-27.23241913,33.41928134
IN,T,13,5,,,,,
