YEAR,SERIES,BAI,TREAT,SITE,PLOT,REP
2000,inu13.5,NA,sub,MIKE,19,4
2000,inu14.1,NA,nothing,MIKE,18,5
2000,inu14.2,NA,sub,MIKE,20,5
2000,inu14.3,NA,nothing,MIKE,18,1
2000,inu14.5,NA,fire,MIKE,17,5
2000,inu15.1,NA,fire,MIKE,17,3
2000,inu15.2,NA,sub,MIKE,17,5
2000,inu15.3,NA,sub,HEATHER,8,2
2000,inu15.4,NA,sub,MIKE,20,4
2000,inu15.5,NA,sub,SETH,9,5
2000,inu16.2,NA,fire,SETH,12,4
2000,inu16.3,NA,fire,SETH,11,4
2000,inu16.4,NA,sub,SETH,12,1
2000,mks17.1,NA,sub,HEATHER,7,5
2000,mks17.2,NA,nothing,MIKE,19,1
2000,mks17.3,NA,sub,SETH,12,3
2000,mks17.4,NA,fire,HEATHER,5,3
2000,mks17.5,NA,sub,SETH,11,1
2000,mks18.1,NA,fire,HEATHER,8,2
2000,mks18.2,NA,sub,ALY,1,4
2000,mks18.3,NA,fire,INGRID,16,3
2000,mks18.4,NA,sub,SETH,11,4
2000,mks18.5,NA,sub,MIKE,17,4
2000,mks19.1,NA,fire,INGRID,14,4
2000,mks19.2,NA,fire,SETH,12,4
2000,mks19.3,NA,sub,SETH,10,5
2000,mks19.4,NA,fire,ALY,3,2
2000,mks19.5,NA,sub,ALY,2,2
2000,mks20.1,NA,fire,MIKE,18,3
2000,mks20.2,NA,sub,SETH,11,2
2000,mks20.3,NA,fire,SETH,12,3
2000,mks20.4,NA,fire,HEATHER,8,5
2000,mks20.5,NA,nothing,ALY,4,2
2000,mkt17.1,NA,fire,SETH,11,2
2000,mkt17.2,NA,nothing,SETH,10,1
2000,mkt17.3,NA,fire,HEATHER,8,1
2000,mkt17.4,NA,nothing,INGRID,13,1
2000,mkt17.5,NA,sub,SETH,11,3
2000,mkt18.1,NA,fire,INGRID,14,5
2000,mkt18.3,NA,nothing,INGRID,13,2
2000,mkt18.4,NA,sub,INGRID,15,3
2000,mkt18.5,NA,nothing,MIKE,17,1
2000,mkt19.1,NA,sub,MIKE,19,4
2000,mkt19.3,NA,fire,SETH,10,4
2000,mkt19.4,NA,fire,MIKE,18,3
2000,mkt19.5,NA,sub,SETH,10,3
2000,mkt20.1,NA,fire,HEATHER,8,4
2000,mkt20.2,NA,fire,SETH,12,2
2000,mkt20.3,NA,sub,ALY,2,3
2000,mkt20.4,NA,fire,INGRID,16,2
2000,mku17.1,NA,fire,HEATHER,8,2
2000,mku17.2,NA,fire,SETH,12,1
2000,mku17.3,NA,sub,MIKE,19,5
2000,mku17.4,NA,fire,SETH,10,1
2000,mku17.5,NA,fire,SETH,10,4
2000,mku18.1,NA,sub,MIKE,20,3
2000,mku18.2,NA,fire,SETH,10,4
2000,mku18.3,NA,fire,INGRID,13,1
2000,mku18.4,NA,nothing,MIKE,17,2
2000,mku18.5,NA,fire,ALY,1,4
2000,mku19.4,NA,nothing,ALY,1,1
2000,mku19.1,NA,fire,SETH,9,3
2000,mku19.2,NA,fire,INGRID,16,2
2000,mku19.3,NA,sub,MIKE,18,2
2000,mku19.5,NA,sub,SETH,9,4
2000,mku20.2,NA,sub,INGRID,13,4
2000,mku20.3,NA,sub,INGRID,16,4
2000,mku20.4,NA,nothing,INGRID,13,1
2000,mku20.5,NA,fire,SETH,10,4
2000,ses9.1,NA,sub,INGRID,16,4
2000,ses9.2,NA,nothing,INGRID,15,3
2000,ses9.4,NA,sub,SETH,10,3
2000,ses9.3,NA,nothing,SETH,11,3
2000,ses9.5,NA,fire,INGRID,16,5
2000,ses10.1,NA,fire,HEATHER,6,1
2000,ses10.2,NA,nothing,SETH,12,2
2000,ses10.3,NA,sub,SETH,10,3
2000,ses10.4,NA,fire,INGRID,14,4
2000,ses10.5,NA,sub,INGRID,16,3
2000,ses11.1,NA,sub,MIKE,17,2
2000,ses11.2,NA,nothing,HEATHER,8,5
2000,ses11.3,NA,nothing,HEATHER,8,3
2000,ses11.4,NA,nothing,INGRID,15,4
2000,ses11.5,NA,nothing,INGRID,14,2
2000,ses12.1,NA,sub,HEATHER,6,4
2000,ses12.2,NA,nothing,MIKE,20,2
2000,ses12.3,NA,fire,SETH,10,1
2000,ses12.4,NA,fire,MIKE,18,4
2000,ses12.5,NA,sub,SETH,12,2
2000,set9.1,NA,fire,INGRID,14,4
2000,set9.3,NA,nothing,HEATHER,8,3
2000,set9.2,NA,nothing,ALY,4,5
2000,set9.4,NA,sub,ALY,3,4
2000,set10.1,NA,fire,HEATHER,8,5
2000,set10.3,NA,sub,HEATHER,6,1
2000,set10.4,NA,nothing,INGRID,16,2
2000,set10.5,NA,nothing,INGRID,14,5
2000,set11.1,NA,sub,INGRID,14,5
2000,set11.2,NA,sub,ALY,3,5
2000,set11.3,NA,fire,ALY,4,2
2000,set11.4,NA,fire,MIKE,19,3
2000,set11.5,NA,nothing,ALY,2,1
2000,set12.1,NA,sub,MIKE,18,2
2000,set12.2,NA,sub,INGRID,14,2
2000,set12.3,NA,fire,HEATHER,8,5
2000,set12.4,NA,nothing,HEATHER,8,1
2000,set12.5,NA,fire,INGRID,14,1
2000,seu9.1,NA,fire,SETH,11,4
2000,seu9.2,NA,nothing,HEATHER,7,2
2000,seu9.3,NA,fire,SETH,12,3
2000,seu9.4,NA,sub,ALY,1,4
2000,seu9.5,NA,fire,ALY,4,2
2000,seu10.1,NA,nothing,HEATHER,6,4
2000,seu10.2,NA,nothing,MIKE,17,5
2000,seu10.4,NA,fire,MIKE,18,4
2000,seu10.5,NA,sub,SETH,11,2
2000,seu11.2,NA,sub,SETH,12,1
2000,seu11.3,NA,sub,SETH,11,3
2000,seu11.4,NA,sub,INGRID,13,2
2000,seu12.1,NA,nothing,HEATHER,6,4
2000,seu12.2,NA,fire,MIKE,20,4
2000,seu12.3,NA,nothing,MIKE,18,2
2000,seu12.5,NA,fire,SETH,10,1
2001,als1.1,NA,sub,ALY,1,1
2001,als1.2,NA,sub,ALY,1,4
2001,als1.3,NA,sub,ALY,2,1
2001,als1.4,NA,sub,ALY,2,4
2001,als1.5,NA,sub,ALY,3,4
2001,als2.1,NA,sub,ALY,4,1
2001,als2.2,NA,sub,ALY,4,3
2001,als2.3,NA,fire,ALY,1,1
2001,als2.4,NA,fire,ALY,1,4
2001,als2.5,NA,fire,ALY,2,2
2001,als3.2,NA,fire,ALY,2,5
2001,als3.1,NA,fire,ALY,3,3
2001,als3.3,NA,fire,ALY,3,5
2001,als3.4,NA,fire,ALY,4,1
2001,als3.5,NA,fire,ALY,4,5
2001,als4.1,NA,nothing,ALY,1,3
2001,als4.2,NA,nothing,ALY,1,5
2001,als4.3,NA,nothing,ALY,2,1
2001,als4.4,NA,nothing,ALY,2,4
2001,alt1.1,NA,nothing,ALY,2,5
